Sticker,Low,Close,High,Open,Volume,Timestamp
MSFT,26.1,26.84,27.0,26.25,79973000,1136298600
MSFT,26.77,26.97,27.08,26.77,57975600,1136385000
MSFT,26.91,26.99,27.13,26.96,48245500,1136471400
MSFT,26.49,26.91,27.0,26.89,100963000,1136557800
MSFT,26.76,26.86,27.07,26.93,55625000,1136817000
MSFT,26.59,27.0,27.02,26.65,64921900,1136903400
MSFT,26.9,27.29,27.39,27.01,70120700,1136989800
MSFT,26.97,27.14,27.26,27.25,45994800,1137076200
MSFT,27.01,27.19,27.25,27.03,41418000,1137162600
MSFT,26.9,26.99,27.19,26.9,58566600,1137508200
MSFT,26.7,26.83,26.98,26.74,52376200,1137594600
MSFT,26.85,27.02,27.24,26.87,60367600,1137681000
MSFT,26.26,26.41,27.01,27.01,79165900,1137767400
MSFT,26.3,26.35,26.53,26.41,47925600,1138026600
MSFT,26.22,26.28,26.45,26.34,63040700,1138113000
MSFT,26.23,26.4,26.57,26.41,59072100,1138199400
MSFT,26.31,26.5,26.72,26.56,69509300,1138285800
MSFT,27.19,27.79,27.95,27.23,134520700,1138372200
MSFT,27.78,28.0,28.18,27.82,103999200,1138631400
MSFT,27.87,28.15,28.38,27.91,94841300,1138717800
MSFT,27.76,28.04,28.07,27.96,68448800,1138804200
MSFT,27.55,27.68,27.99,27.97,55073400,1138890600
MSFT,27.34,27.54,27.7,27.48,75022700,1138977000
MSFT,27.09,27.17,27.54,27.51,60170500,1139236200
MSFT,26.81,26.94,27.15,26.95,72159500,1139322600
MSFT,26.71,26.91,27.08,27.01,51795200,1139409000
MSFT,26.65,26.66,27.03,26.96,52861700,1139495400
MSFT,26.51,26.69,26.89,26.62,52127000,1139581800
MSFT,26.34,26.39,26.7,26.63,46707000,1139841000
MSFT,26.35,26.65,26.68,26.41,58432900,1139927400
MSFT,26.5,26.88,26.93,26.6,62808900,1140013800
MSFT,26.57,26.81,26.9,26.85,48868500,1140100200
MSFT,26.56,26.7,26.81,26.67,41513200,1140186600
MSFT,26.34,26.54,26.72,26.72,50216100,1140532200
MSFT,26.47,26.72,26.86,26.53,43043100,1140618600
MSFT,26.54,26.66,26.89,26.73,47359100,1140705000
MSFT,26.52,26.63,26.74,26.59,44753800,1140791400
MSFT,26.67,27.05,27.26,26.75,51301500,1141050600
MSFT,26.87,26.87,27.3,26.95,65036100,1141137000
